# mode, frequency, amplitude, absolute d.r., relative d.r.
3.000000000000000000e+00,4.955959755340581196e+00,1.195522151461322485e-01,-1.097316194730410643e+00,3.523904655156585158e-02
1.000000000000000000e+00,7.221140802165762373e+00,7.960302850343647929e-02,4.008376517627378344e-01,8.834517343333623748e-03
