# mode, frequency, amplitude, absolute d.r., relative d.r.
3.500000000000000000e+01,9.912008214984565413e+00,4.657065776210125740e+00,-3.757611392734590550e-01,6.033514242532965303e-03
5.100000000000000000e+01,3.323093774518670607e+00,2.845178387314615254e+00,-9.780862491760689004e-01,4.684407720306660305e-02
2.300000000000000000e+01,1.579592508958559449e+01,2.021586300782670431e+00,-1.771298161675817884e+00,1.784706223418090071e-02
