# mode, frequency, amplitude, absolute d.r., relative d.r.
2.100000000000000000e+01,8.011212532978750911e-01,1.722673497964083644e+00,-6.630171255950787490e-01,1.317184539277241606e-01
1.500000000000000000e+01,3.572680561015550982e+00,1.585715088786897597e+00,-1.729683675764110307e+00,7.705354628877471301e-02
1.700000000000000000e+01,4.519888929580426762e+00,1.095874851503169989e+00,-6.575093405371399413e-01,2.315230823278045455e-02
