# mode, frequency, amplitude, absolute d.r., relative d.r.
3.100000000000000000e+01,1.972393608712398327e+00,2.933061940264725109e+00,-1.889523540131309964e+00,1.524680521028018154e-01
2.900000000000000000e+01,2.853218211774692925e+00,2.371730613829171830e+00,-1.703522644097788641e+00,9.502394466650355975e-02
2.700000000000000000e+01,3.770796639965078967e+00,1.825620839645024640e+00,-1.366266958414746213e+00,5.766636622887455488e-02
