# mode, frequency, amplitude, absolute d.r., relative d.r.
7.800000000000000000e+01,3.638577552931464343e+00,9.240326695675913360e-01,-1.537424660160008894e-01,6.724845924988084520e-03
7.100000000000000000e+01,7.250339857315550418e+00,1.133947458847299472e-01,2.178164841329761625e-01,4.781371745171666965e-03
5.800000000000000000e+01,1.084847866230368929e+01,3.238148571677162274e-02,3.277524665026393946e-01,4.808363161160417870e-03
